train_size,order_strategy,column_order,dag_used,repetition,categorical,max_corr_difference,mean_corr_difference,propensity_metrics_avg pMSE,propensity_metrics_pMSE err,propensity_metrics_avg acc,propensity_metrics_acc err,k_marginal_tvd
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",5,False,1.942890293094024e-14,3.3306690738754696e-15,0.00011036824465828243,3.255639139679846e-05,0.4880527537817837,0.001999227850107248,0.09475
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",5,False,1.9539925233402755e-14,9.751458899624291e-15,0.0003010439286794789,7.83771625409974e-05,0.5067575840202079,0.009165564435329475,0.09566666666666668
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",5,False,1.942890293094024e-14,1.1102230246251565e-16,0.00017243877045416416,5.23150500307751e-05,0.4985550228591421,0.00931703511301199,0.08533333333333336
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",5,False,1.9539925233402755e-14,6.457797259902994e-15,0.0004879462905016328,6.43660200929937e-05,0.5041482851533697,0.008769474344707866,0.08316666666666667
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",6,False,1.965094753586527e-14,9.825473767932635e-15,0.006169057183624342,0.00019362595107768872,0.5619498814855733,0.007582338480589762,0.14933333333333335
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",6,False,1.942890293094024e-14,9.695947748393033e-15,0.007038710856993586,0.00031463113361232325,0.5732116956239199,0.00472108604698492,0.13416666666666666
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",6,False,1.942890293094024e-14,7.401486830834377e-17,0.005594835920309181,0.0005712819966394829,0.5669627317517317,0.007516728547662704,0.15183333333333335
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",6,False,1.9539925233402755e-14,6.5133084111342514e-15,0.005822493468136355,0.0004969278433839384,0.5741557161732898,0.007227184406319177,0.13825
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",7,False,1.942890293094024e-14,3.3121653567983835e-15,0.008324256323252482,0.0003325029351322881,0.573738720282742,0.005509484928461763,0.16325
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",7,False,1.965094753586527e-14,1.622775987660437e-14,0.008252606179239383,0.0002246436367086136,0.5697841727296402,0.00704360329043947,0.14958333333333337
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",7,False,1.9539925233402755e-14,1.295260195396016e-16,0.007099013436395364,0.0003209283313875459,0.5713623210444064,0.005615805459188837,0.1615
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",7,False,1.9539925233402755e-14,6.47630097698008e-15,0.008098216594976906,0.00021150128962751856,0.5660452639926348,0.0036616050946247035,0.153
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",8,False,1.942890293094024e-14,3.3121653567983835e-15,0.004255663035057182,0.00020496565331736143,0.552181292455211,0.004660789130263659,0.12941666666666668
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",8,False,1.942890293094024e-14,9.677444031315948e-15,0.004927780501951831,0.0002320236481400587,0.5599667754342788,0.0042599892993799736,0.12375000000000003
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",8,False,1.942890293094024e-14,7.401486830834377e-17,0.003514279613384453,0.0002070263220583199,0.547017782623729,0.005656380596050208,0.12641666666666665
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",8,False,1.9539925233402755e-14,6.531812128211338e-15,0.004362863847704558,0.00019027083532361522,0.5584617552575087,0.005123096689155746,0.12450000000000001
50,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",9,False,1.9539925233402755e-14,3.3121653567983835e-15,0.0014688341310604524,0.00017159579451279437,0.5372561212366991,0.0035904998583530033,0.10691666666666667
50,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",9,False,1.9539925233402755e-14,9.732955182547206e-15,0.003737460885925646,0.0002733875519253839,0.5265850548310139,0.008380531825539985,0.10016666666666667
50,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",9,False,1.9539925233402755e-14,7.401486830834377e-17,0.0013386373423736081,9.286971848065334e-05,0.5264164872000208,0.002225508512505601,0.11008333333333335
50,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",9,False,1.965094753586527e-14,9.769962616701378e-15,0.0022798011804390644,0.00018840223852949694,0.5323915471651038,0.0074960902111023105,0.11516666666666668
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",0,False,1.942890293094024e-14,3.3121653567983835e-15,0.0011879947139863838,0.00019185205617222085,0.5293545398872471,0.010039706105370387,0.17166666666666666
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",0,False,1.9539925233402755e-14,9.751458899624291e-15,0.0009687579864230067,0.0001806113991405001,0.5205444332228606,0.00927777597350153,0.169
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",0,False,1.9539925233402755e-14,9.251858538542972e-17,0.00115675017447033,0.00012422020576982162,0.5342091367816835,0.005148652035212812,0.17241666666666666
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",0,False,1.9539925233402755e-14,6.494804694057166e-15,0.0011139315827493443,6.739756114360583e-05,0.5268380294058319,0.008180107201354203,0.17433333333333334
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",1,False,1.9539925233402755e-14,3.293661639721298e-15,0.001760658933879557,0.00014461702864942345,0.5295696269453025,0.010070672594174794,0.08925000000000001
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",1,False,1.9539925233402755e-14,9.71445146547012e-15,0.0024797932874080367,0.00016938744246457264,0.5397178838759171,0.010244134394289648,0.08666666666666667
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",1,False,1.9539925233402755e-14,7.401486830834377e-17,0.0010598905850937913,8.206013940491926e-05,0.5171523842742325,0.007838990649816063,0.08108333333333334
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",1,False,1.9539925233402755e-14,6.47630097698008e-15,0.0018072958708388706,5.356385949549427e-05,0.5291613111899558,0.005053157149702954,0.08775000000000004
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",2,False,1.9539925233402755e-14,3.293661639721298e-15,0.0028171675365806725,0.00015946832547962417,0.5403951209433503,0.007405600182277769,0.13133333333333336
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",2,False,1.9539925233402755e-14,9.732955182547206e-15,0.0011806218614311467,0.00012041917311824293,0.5279287608209742,0.00758298674955886,0.10658333333333332
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",2,False,1.9539925233402755e-14,5.551115123125783e-17,0.001008240131851591,6.296355582178323e-05,0.5213060719911896,0.003994310450709807,0.10383333333333333
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",2,False,1.9539925233402755e-14,6.5133084111342514e-15,0.002712626997433476,0.00017070478060530447,0.5359166937561399,0.0050953288732641395,0.13075
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",3,False,1.9539925233402755e-14,3.3121653567983835e-15,0.0028754354059884616,0.00030154448831971723,0.5370854252494228,0.007987812128600651,0.109
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",3,False,1.9539925233402755e-14,9.732955182547206e-15,0.002576888533205987,0.000287468727284246,0.5428454279833442,0.00855240322282136,0.11325000000000002
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",3,False,1.9539925233402755e-14,7.401486830834377e-17,0.0029941740054168563,0.00014876995190561348,0.528751278824659,0.005388803746192402,0.10983333333333334
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",3,False,1.9539925233402755e-14,6.494804694057166e-15,0.003138580956244326,0.00022381507219894746,0.5369138964166409,0.002245284409272526,0.11691666666666667
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",4,False,1.9539925233402755e-14,3.293661639721298e-15,0.0029536133022123124,0.00029068546579729657,0.538814356010382,0.009701551508354283,0.07916666666666668
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",4,False,1.9539925233402755e-14,9.732955182547206e-15,0.0028994270777818604,0.00030258890692636995,0.5384900442304872,0.010157953125324462,0.07508333333333334
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",4,False,1.9539925233402755e-14,7.401486830834377e-17,0.003491370961006628,0.0002295008758679703,0.5441382466030641,0.00610502734587146,0.085
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",4,False,1.9539925233402755e-14,6.5133084111342514e-15,0.003965757496480417,0.00015471558547915348,0.5490173530341136,0.004356108151039534,0.08875000000000001
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",5,False,1.9539925233402755e-14,3.3306690738754696e-15,0.0014106114961525804,0.00013082222070246051,0.524968349890625,0.011686332308518505,0.09958333333333332
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",5,False,1.9539925233402755e-14,9.71445146547012e-15,0.0005522505408273655,0.00014986126775812147,0.5170849397208789,0.011140080676042946,0.09691666666666665
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",5,False,1.9539925233402755e-14,7.401486830834377e-17,0.0011598461383059624,0.000159218177819565,0.5200206421723351,0.009541080080535783,0.09475
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",5,False,1.965094753586527e-14,1.622775987660437e-14,0.0008671504102442674,0.00012247922093732615,0.520017909967639,0.0084466850342554,0.09733333333333334
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",6,False,1.9539925233402755e-14,3.293661639721298e-15,0.0038470557290513118,0.000234240677044906,0.544623587186093,0.006505762969495091,0.09599999999999999
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",6,False,1.9539925233402755e-14,9.71445146547012e-15,0.004497062601985712,0.00022996484038728207,0.5523987073870957,0.007514390407018845,0.09825
100,worst,"[1, 2, 3, 0]","[1, 2, 3, 0]",6,False,1.9539925233402755e-14,1.295260195396016e-16,0.0037983803798390435,0.0003208650166896663,0.5443022381679418,0.005996380408201998,0.10266666666666667
100,random,"[3, 2, 1, 0]","[3, 2, 1, 0]",6,False,1.9539925233402755e-14,6.5133084111342514e-15,0.004035556727175135,0.00017956706605140726,0.547860135309308,0.00917645394050321,0.1075
100,original,"[0, 1, 2, 3]","[0, 1, 2, 3]",7,False,1.9539925233402755e-14,3.293661639721298e-15,0.0015675592698504454,0.00021657599778147037,0.52638297382963,0.009547718203223044,0.09325000000000001
100,topological,"[0, 3, 2, 1]","[0, 3, 2, 1]",7,False,1.9539925233402755e-14,9.732955182547206e-15,0.0022994625450705438,0.00021245034047350314,0.5399598116566218,0.010006913787860446,0.09541666666666669
